Lightcurve (raw) :   64675
Time (BJD)     Flux      Status
--------------------------------------
131.51201       -0.00059    1
131.53245       -0.00083    1
131.55288       -0.00105    1
131.57332       -0.00076    1
131.59375       -0.00035    1
131.61418       -0.00005    1
131.63462        0.00056    1
131.65505        0.00056    1
131.67549        0.00059    1
131.69592        0.00111    1
131.71636        0.00093    1
131.73679        0.00049    1
131.75723       -0.00038    1
131.77766       -0.00071    1
131.79809       -0.00056    1
131.81853       -0.00048    1
131.83896       -0.00030    1
131.85940        0.00004    1
131.87983        0.00047    1
131.90027        0.00055    1
131.92070        0.00052    1
131.94113        0.00022    1
131.96157        0.00004    1
131.98200       -0.00062    1
132.00244       -0.00018    1
132.02287       -0.00052    1
132.04331       -0.00030    1
132.06374       -0.00024    1
132.08418       -0.00008    1
132.10461        0.00029    1
132.12504        0.00044    1
132.14548        0.00039    1
132.16591        0.00046    1
132.18635        0.00003    1
132.20678       -0.00010    1
132.22722       -0.00027    1
132.24765       -0.00051    1
132.26809       -0.00038    1
132.28852       -0.00042    1
132.30895       -0.00022    1
132.32939        0.00016    1
132.34982        0.00022    1
132.37026        0.00005    1
132.39069        0.00044    1
132.41113        0.00028    1
132.43156       -0.00004    1
132.45199       -0.00040    1
132.47243       -0.00047    1
132.49286       -0.00024    1
132.51330       -0.00006    1
132.53373       -0.00005    1
132.55417       -0.00014    1
132.57460        0.00013    1
132.59504        0.00024    1
132.61547        0.00019    1
132.63590       -0.00002    1
132.65634       -0.00038    1
132.67677       -0.00044    1
132.69721       -0.00039    1
132.71764       -0.00029    1
132.73808       -0.00031    1
132.75851       -0.00011    1
132.77895        0.00021    1
132.79938        0.00064    1
132.81981        0.00079    1
132.84025        0.00053    1
132.86068        0.00035    1
132.88112        0.00000    1
132.90155        0.00003    1
132.92199       -0.00020    1
132.94242       -0.00026    1
132.96286       -0.00046    1
132.98329       -0.00034    1
133.00372       -0.00027    1
133.02416       -0.00007    1
133.04459       -0.00004    1
133.06503        0.00021    1
133.08546        0.00045    1
133.10590        0.00047    1
133.12633        0.00023    1
133.14676        0.00017    1
133.16720        0.00003    1
133.18763       -0.00025    1
133.20807       -0.00016    1
133.22850       -0.00016    1
133.24894       -0.00018    1
133.26937       -0.00058    1
133.28981       -0.00022    1
133.31024       -0.00012    1
133.33067       -0.00006    1
133.35111       -0.00029    1
133.37154        0.00001    1
133.39198        0.00010    1
133.41241        0.00063    1
133.43285        0.00052    1
133.45328        0.00037    1
133.47372        0.00018    1
133.49415        0.00029    1
133.51458       -0.00006    1
133.53502       -0.00045    1
133.55545       -0.00038    1
133.57589       -0.00017    1
133.59632       -0.00011    1
133.61676        0.00025    1
133.63719        0.00028    1
133.65762        0.00048    1
133.67806        0.00032    1
133.69849        0.00020    1
133.71893        0.00024    1
133.73936       -0.00032    1
133.75980       -0.00069    1
133.78023       -0.00082    1
133.80067       -0.00067    1
133.82110       -0.00047    1
133.84153       -0.00023    1
133.86197        0.00008    1
133.88240        0.00044    1
133.90284        0.00085    1
133.92327        0.00065    1
133.94371        0.00039    1
133.96414        0.00008    1
133.98458       -0.00029    1
134.00501       -0.00030    1
134.02544       -0.00069    1
134.04588       -0.00074    1
134.06631       -0.00036    1
134.08675        0.00029    1
134.10718        0.00030    1
134.12762        0.00055    1
134.14805        0.00083    1
134.16848        0.00044    1
134.18892        0.00065    1
134.20935        0.00033    1
134.22979       -0.00015    1
134.25022       -0.00051    1
134.27066       -0.00089    1
134.29109       -0.00061    1
134.31153       -0.00011    1
134.33196        0.00006    1
134.35239        0.00032    1
134.37283        0.00048    1
134.41370        0.00074    1
134.43413        0.00021    1
134.45457        0.00014    1
134.47500       -0.00020    1
134.49544       -0.00027    1
134.51587       -0.00021    1
134.53630       -0.00071    1
134.55674       -0.00061    1
134.57717        0.00023    1
134.59761        0.00037    1
134.61804        0.00026    1
134.63848        0.00010    1
134.65891        0.00007    1
134.67934       -0.00005    1
134.69978        0.00005    1
134.72021       -0.00017    1
134.74065       -0.00024    1
134.76108       -0.00027    1
134.78152        0.00013    1
134.80195        0.00040    1
134.82239        0.00072    1
134.84282        0.00005    1
134.86325        0.00009    1
134.88369        0.00015    1
134.90412       -0.00009    1
134.92456       -0.00023    1
134.94499        0.00027    1
134.96543       -0.00035    1
134.98586       -0.00026    1
135.00630       -0.00006    1
135.02673       -0.00008    1
135.04716       -0.00010    1
135.06760        0.00011    1
135.08803        0.00008    1
135.10847        0.00013    1
135.12890        0.00023    1
135.14934       -0.00011    1
135.16977        0.00007    1
135.19020       -0.00022    1
135.21064       -0.00019    1
135.23107        0.00003    1
135.25151       -0.00002    1
135.27194        0.00004    1
135.29238        0.00017    1
135.31281        0.00019    1
135.33325       -0.00011    1
135.35368        0.00004    1
135.37411        0.00002    1
135.39455       -0.00006    1
135.41498       -0.00022    1
135.43542       -0.00017    1
135.45585       -0.00034    1
135.47629        0.00028    1
135.49672        0.00050    1
135.51716       -0.00002    1
135.53759       -0.00018    1
135.55802       -0.00008    1
135.57846        0.00029    1
135.59889        0.00030    1
135.61933       -0.00000    1
135.63976        0.00008    1
135.66020        0.00024    1
135.68063        0.00021    1
135.70106        0.00021    1
135.72150       -0.00027    1
135.74193       -0.00037    1
135.76237       -0.00041    1
135.78280       -0.00037    1
135.80324       -0.00040    1
135.82367       -0.00043    1
135.84411       -0.00035    1
135.86454        0.00006    1
135.88497        0.00005    1
135.90541        0.00053    1
135.92584        0.00060    1
135.94628        0.00044    1
135.96671        0.00047    1
135.98715       -0.00010    1
136.00758       -0.00050    1
136.02802       -0.00083    1
136.04845       -0.00068    1
136.06888       -0.00014    1
136.08932        0.00004    1
136.10975        0.00026    1
136.13019        0.00047    1
136.15062        0.00058    1
136.17106        0.00067    1
136.19149        0.00027    1
136.21192        0.00022    1
136.23236       -0.00042    1
136.25279       -0.00065    1
136.27323       -0.00035    1
136.29366       -0.00046    1
136.31410       -0.00060    1
136.33453       -0.00010    1
136.35497        0.00029    1
136.37540        0.00044    1
136.39583        0.00062    1
136.41627        0.00044    1
136.43670       -0.00006    1
136.45714       -0.00012    1
136.47757       -0.00046    1
136.49801       -0.00072    1
136.51844       -0.00075    1
136.53888       -0.00070    1
136.55931       -0.00034    1
136.57974        0.00027    1
136.60018        0.00046    1
136.62061        0.00050    1
136.64105        0.00073    1
136.66148        0.00064    1
136.68192        0.00045    1
136.70235       -0.00007    1
136.72278       -0.00020    1
136.74322       -0.00062    1
136.76365       -0.00037    1
136.78409       -0.00033    1
136.80452       -0.00032    1
136.82496        0.00006    1
136.84539        0.00038    1
136.86583        0.00069    1
136.88626        0.00050    1
136.90669        0.00038    1
136.92713        0.00039    1
136.94756       -0.00003    1
136.96800       -0.00010    1
136.98843       -0.00033    1
137.00887       -0.00025    1
137.02930       -0.00018    1
137.04973       -0.00013    1
137.07017        0.00040    1
137.09060        0.00052    1
137.11104        0.00020    1
137.13147       -0.00002    1
137.15191       -0.00005    1
137.17234       -0.00017    1
137.19278       -0.00017    1
137.21321       -0.00053    1
137.23364       -0.00026    1
137.25408       -0.00010    1
137.27451        0.00019    1
137.29495        0.00010    1
137.31538        0.00015    1
137.33582        0.00014    1
137.35625        0.00032    1
137.39712       -0.00030    1
137.41755       -0.00019    1
137.43799       -0.00029    1
137.45842       -0.00032    1
137.47886       -0.00032    1
137.49929       -0.00034    1
137.51973       -0.00029    1
137.54016        0.00002    1
137.56059        0.00031    1
137.58103        0.00022    1
137.60146        0.00015    1
137.62190        0.00014    1
137.64233        0.00006    1
137.66277        0.00029    1
137.68320        0.00025    1
137.70364        0.00013    1
137.72407        0.00011    1
137.74450       -0.00001    1
137.76494        0.00004    1
137.78537       -0.00001    1
137.80581       -0.00039    1
137.82624       -0.00011    1
137.84668       -0.00004    1
137.86711       -0.00005    1
137.88754       -0.00005    1
137.90798       -0.00008    1
137.92841       -0.00007    1
137.94885        0.00017    1
137.96928        0.00012    1
137.98972        0.00017    1
138.01015       -0.00016    1
138.03059       -0.00048    1
138.05102       -0.00030    1
138.07145        0.00008    1
138.09189       -0.00008    1
138.11232        0.00015    1
138.13276        0.00022    1
138.15319        0.00029    1
138.17363        0.00024    1
138.19406        0.00033    1
138.21450       -0.00012    1
138.23493       -0.00032    1
138.25536       -0.00011    1
138.27580       -0.00055    1
138.29623        0.00000    1
138.31667        0.00011    1
138.33710        0.00001    1
138.35754        0.00031    1
138.37797        0.00057    1
138.39840        0.00039    1
138.41884        0.00048    1
138.43927        0.00045    1
138.45971        0.00043    1
138.48014        0.00000    1
138.50058       -0.00055    1
138.52101       -0.00071    1
138.54145       -0.00045    1
138.56188       -0.00036    1
138.58231       -0.00010    1
138.60275        0.00009    1
138.62318        0.00068    1
138.64362        0.00077    1
138.66405        0.00077    1
138.68449        0.00046    1
138.70492        0.00010    1
138.72536       -0.00010    1
138.74579       -0.00035    1
138.76622       -0.00020    1
138.78666       -0.00029    1
138.80709        0.00012    1
138.82753        0.00007    1
138.84796        0.00054    1
138.86840        0.00046    1
138.88883        0.00048    1
138.90926        0.00027    1
138.92970        0.00009    1
138.95013       -0.00006    1
138.97057       -0.00045    1
138.99100       -0.00061    1
139.01144       -0.00082    1
139.03187       -0.00032    1
139.05231        0.00009    1
139.07274        0.00006    1
139.09317        0.00040    1
139.11361        0.00050    1
139.13404        0.00032    1
139.15448        0.00010    1
139.17491       -0.00030    1
139.19535       -0.00072    1
139.21578       -0.00059    1
139.23621       -0.00063    1
139.25665       -0.00033    1
139.27708       -0.00025    1
139.29752        0.00010    1
139.31795        0.00041    1
139.33839        0.00072    1
139.35882        0.00064    1
139.37926        0.00047    1
139.39969        0.00010    1
139.42012       -0.00017    1
139.44056       -0.00022    1
139.46099       -0.00034    1
139.48143       -0.00054    1
139.50186       -0.00033    1
139.52230       -0.00006    1
139.54273        0.00030    1
139.56316        0.00017    1
139.58360        0.00053    1
139.60403        0.00024    1
139.62447        0.00003    1
139.64490       -0.00003    1
139.66534       -0.00025    1
139.68577       -0.00016    1
139.70621       -0.00029    1
139.72664       -0.00040    1
139.74707       -0.00006    1
139.76751        0.00006    1
139.78794        0.00004    1
139.80838        0.00024    1
139.82881       -0.00003    1
139.84925        0.00017    1
139.86968        0.00012    1
139.89012       -0.00035    1
139.91055       -0.00019    1
139.93098       -0.00019    1
139.95142       -0.00010    1
139.97185       -0.00045    1
139.99229       -0.00051    1
140.01272       -0.00025    1
140.03316        0.00012    1
140.05359        0.00022    1
140.07402        0.00024    1
140.09446       -0.00009    1
140.11489        0.00016    1
140.13533        0.00039    1
140.15576        0.00046    1
140.17620        0.00009    1
140.19663        0.00011    1
140.21707       -0.00044    1
140.23750       -0.00041    1
140.25793       -0.00042    1
140.27837       -0.00048    1
140.29880       -0.00066    1
140.31924       -0.00032    1
140.33967        0.00006    1
140.38054        0.00055    1
140.40097        0.00036    1
140.42141        0.00060    1
140.44184        0.00071    1
140.46228        0.00015    1
140.48271        0.00031    1
140.50315       -0.00028    1
140.52358       -0.00057    1
140.54402       -0.00024    1
140.56445       -0.00061    1
140.58488       -0.00049    1
140.60532       -0.00005    1
140.62575        0.00028    1
140.64619        0.00043    1
140.66662        0.00053    1
140.68706       -0.00005    1
140.70749       -0.00047    1
140.72792       -0.00052    1
140.74836       -0.00060    1
140.76879       -0.00065    1
140.78923       -0.00097    1
140.80966       -0.00041    1
140.83010        0.00011    1
140.85053        0.00046    1
140.87097        0.00078    1
140.89140        0.00069    1
140.91183        0.00088    1
140.93227        0.00056    1
140.95270       -0.00005    1
140.97314       -0.00039    1
140.99357       -0.00065    1
141.01401       -0.00083    1
141.03444       -0.00068    1
141.05487       -0.00060    1
141.07531       -0.00006    1
141.09574        0.00043    1
141.11618        0.00073    1
141.13661        0.00094    1
141.15705        0.00086    1
141.17748        0.00054    1
141.19792        0.00023    1
141.21835       -0.00025    1
141.23878       -0.00062    1
141.25922       -0.00075    1
141.27965       -0.00079    1
141.30009       -0.00037    1
141.32052       -0.00015    1
141.34096        0.00027    1
141.36139        0.00058    1
141.38183        0.00037    1
141.40226        0.00021    1
141.42269        0.00036    1
141.44313        0.00033    1
141.46356        0.00001    1
141.48400       -0.00043    1
141.50443       -0.00048    1
141.52487       -0.00013    1
141.54530        0.00014    1
141.56573       -0.00009    1
141.58617        0.00012    1
141.60660        0.00016    1
141.62704        0.00032    1
141.64747       -0.00000    1
141.66791       -0.00011    1
141.68834       -0.00041    1
141.70878       -0.00024    1
141.72921       -0.00015    1
141.74964       -0.00009    1
141.77008        0.00036    1
141.79051        0.00025    1
141.81095        0.00036    1
141.83138        0.00035    1
141.85182        0.00008    1
141.87225       -0.00008    1
141.89268       -0.00005    1
141.91312        0.00002    1
141.93355        0.00005    1
141.95399        0.00006    1
141.97442       -0.00029    1
141.99486       -0.00003    1
142.01529        0.00025    1
142.03573        0.00033    1
142.05616        0.00038    1
142.07659        0.00016    1
142.09703        0.00017    1
142.11746        0.00007    1
142.13790       -0.00027    1
142.15833       -0.00031    1
142.17877       -0.00033    1
142.19920       -0.00029    1
142.21963        0.00016    1
142.24007        0.00034    1
142.26050        0.00055    1
142.28094        0.00006    1
142.30137        0.00015    1
142.32181       -0.00001    1
142.34224       -0.00001    1
142.36268       -0.00021    1
142.38311       -0.00027    1
142.40354       -0.00024    1
142.42398       -0.00001    1
142.44441        0.00002    1
142.46485       -0.00009    1
142.48528       -0.00014    1
142.50572       -0.00011    1
142.52615        0.00046    1
142.54658        0.00015    1
142.56702        0.00032    1
142.58745       -0.00004    1
142.60789        0.00003    1
142.62832        0.00024    1
142.64876       -0.00003    1
