 Time(BJD)  f_ny(nHz)
  -8.000     7.648
  -7.750     7.604
  -7.500     7.560
  -7.250     7.515
  -7.000     7.471
  -6.750     7.426
  -6.500     7.381
  -6.250     7.335
  -6.000     7.290
  -5.750     7.245
  -5.500     7.199
  -5.250     7.153
  -5.000     7.107
  -4.750     7.061
  -4.500     7.015
  -4.250     6.968
  -4.000     6.922
  -3.750     6.875
  -3.500     6.828
  -3.250     6.781
  -3.000     6.734
  -2.750     6.686
  -2.500     6.639
  -2.250     6.591
  -2.000     6.544
  -1.750     6.496
  -1.500     6.448
  -1.250     6.400
  -1.000     6.351
  -0.750     6.303
  -0.500     6.254
  -0.250     6.206
   0.000     6.157
   0.250     6.108
   0.500     6.059
   0.750     6.010
   1.000     5.960
   1.250     5.911
   1.500     5.861
   1.750     5.811
   2.000     5.762
   2.250     5.712
   2.500     5.662
   2.750     5.612
   3.000     5.561
   3.250     5.511
   3.500     5.460
   3.750     5.410
   4.000     5.359
   4.250     5.308
   4.500     5.257
   4.750     5.206
   5.000     5.155
   5.250     5.104
   5.500     5.053
   5.750     5.001
   6.000     4.950
   6.250     4.898
   6.500     4.846
   6.750     4.794
   7.000     4.742
   7.250     4.690
   7.500     4.638
   7.750     4.586
   8.000     4.534
   8.250     4.482
   8.500     4.429
   8.750     4.377
   9.000     4.324
   9.250     4.271
   9.500     4.219
   9.750     4.166
  10.000     4.113
  10.250     4.060
  10.500     4.007
  10.750     3.954
  11.000     3.901
  11.250     3.847
  11.500     3.794
  11.750     3.741
  12.000     3.687
  12.250     3.634
  12.500     3.580
  12.750     3.526
  13.000     3.473
  13.250     3.419
  13.500     3.365
  13.750     3.311
  14.000     3.257
  14.250     3.203
  14.500     3.149
  14.750     3.095
  15.000     3.041
  15.250     2.987
  15.500     2.933
  15.750     2.879
  16.000     2.824
  16.250     2.770
  16.500     2.716
  16.750     2.661
  17.000     2.607
  17.250     2.552
  17.500     2.498
  17.750     2.443
  18.000     2.389
  18.250     2.334
  18.500     2.280
  18.750     2.225
  19.000     2.170
  19.250     2.116
  19.500     2.061
  19.750     2.006
  20.000     1.952
  20.250     1.897
  20.500     1.842
  20.750     1.787
  21.000     1.733
  21.250     1.678
  21.500     1.623
  21.750     1.568
  22.000     1.513
  22.250     1.458
  22.500     1.404
  22.750     1.349
  23.000     1.294
  23.250     1.239
  23.500     1.184
  23.750     1.129
  24.000     1.074
  24.250     1.020
  24.500     0.965
  24.750     0.910
  25.000     0.855
  25.250     0.800
  25.500     0.746
  25.750     0.691
  26.000     0.636
  26.250     0.581
  26.500     0.527
  26.750     0.472
  27.000     0.417
  27.250     0.363
  27.500     0.308
  27.750     0.253
  28.000     0.199
  28.250     0.144
  28.500     0.090
  28.750     0.035
  29.000    -0.019
  29.250    -0.074
  29.500    -0.128
  29.750    -0.183
  30.000    -0.237
  30.250    -0.291
  30.500    -0.345
  30.750    -0.400
  31.000    -0.454
  31.250    -0.508
  31.500    -0.562
  31.750    -0.616
  32.000    -0.670
  32.250    -0.724
  32.500    -0.778
  32.750    -0.832
  33.000    -0.886
  33.250    -0.939
  33.500    -0.993
  33.750    -1.047
  34.000    -1.100
  34.250    -1.154
  34.500    -1.207
  34.750    -1.261
  35.000    -1.314
  35.250    -1.367
  35.500    -1.421
